cid,compound_id,herb_id,herb_name,evidence_tier,accepted_evidence_sources,tcmsp_mol_ids,evidence_record_count,source_snapshot,adjudication_status
12303645,CMP-PUBCHEM-12303645,HERB-0120,小蓟,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0124,山楂叶,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0125,山茱萸,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0130,川木通,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0132,川槿皮,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0134,川芎,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0135,川贝母,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0136,巴戟天,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0137,巴豆,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0139,常山,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0140,干姜,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0141,平贝母,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0144,延胡索,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0146,徐长卿,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0156,景天三七,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0163,木香,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0169,松花粉,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0170,板蓝根,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0176,枸骨叶,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0177,柏子仁,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
