provenance_record_id,cid,compound_id,herb_id,herb_name,tcmsp_mol_id,evidence_tier,match_confidence,match_method,source_database,source_locator,source_snapshot,adjudication_status
TCMSP-ADJ-0008272,114917,CMP-PUBCHEM-114917,HERB-0011,丹参,MOL007157,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=3727;herb_position=1,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008273,114917,CMP-PUBCHEM-114917,HERB-0050,前胡,MOL007157,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=3727;herb_position=2,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008274,115012,CMP-PUBCHEM-115012,HERB-0127,山豆根,MOL003641,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=2082;herb_position=7,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008275,115012,CMP-PUBCHEM-115012,HERB-0194,槐花,MOL003641,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=2082;herb_position=4,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008276,115012,CMP-PUBCHEM-115012,HERB-0333,胡芦巴,MOL003641,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=2082;herb_position=2,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008277,115012,CMP-PUBCHEM-115012,HERB-0344,花生衣,MOL003641,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=2082;herb_position=3,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008278,115012,CMP-PUBCHEM-115012,HERB-0351,苦参,MOL003641,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=2082;herb_position=6,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008279,115012,CMP-PUBCHEM-115012,HERB-0384,葛根,MOL003641,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=2082;herb_position=8,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008280,115012,CMP-PUBCHEM-115012,HERB-0481,鸡骨草,MOL003641,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=2082;herb_position=5,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008281,115012,CMP-PUBCHEM-115012,HERB-0498,黑豆,MOL003641,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=2082;herb_position=1,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008282,115049,CMP-PUBCHEM-115049,HERB-0047,凤尾草,MOL006347,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=3461;herb_position=1,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008283,115049,CMP-PUBCHEM-115049,HERB-0502,龙葵,MOL006347,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=3461;herb_position=2,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008284,115067,CMP-PUBCHEM-115067,HERB-0122,山慈菇,MOL007986,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=4141;herb_position=1,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008285,115247,CMP-PUBCHEM-115247,HERB-0237,牵牛子,MOL005257,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=2937;herb_position=1,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008286,115250,CMP-PUBCHEM-115250,HERB-0230,牛大力,MOL001508,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=854;herb_position=2,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008287,115250,CMP-PUBCHEM-115250,HERB-0484,鹅不食草,MOL001508,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=854;herb_position=1,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008288,117158,CMP-PUBCHEM-117158,HERB-0218,海藻,MOL010575,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=5274;herb_position=1,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008289,117440,CMP-PUBCHEM-117440,HERB-0183,桃仁,MOL001372,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=774;herb_position=1,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008290,117443,CMP-PUBCHEM-117443,HERB-0178,柴胡,MOL013187,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=6409;herb_position=2,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008291,117443,CMP-PUBCHEM-117443,HERB-0368,荜澄茄,MOL013187,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=6409;herb_position=1,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008292,117549,CMP-PUBCHEM-117549,HERB-0223,满山红,MOL012418,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=6090;herb_position=1,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008293,117754,CMP-PUBCHEM-117754,HERB-0422,辣椒,MOL008743,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=4509;herb_position=2,2025-07-18,accepted_direct_relation
