cid,has_tcmsp_mapping,herb_count,herb_names,tcmsp_mol_id_count,tcmsp_mol_ids,unique_edge_count,evidence_tiers,provenance_status
8655,1,15,党参 | 吴茱萸 | 广枣 | 桂枝 | 檀香 | 独活 | 石见穿 | 秦皮 | 细辛 | 芦根 | 芫花 | 荆芥 | 葛花 | 葶苈子 | 麻黄,1,MOL003177,15,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8658,1,3,一枝黄花 | 桂枝 | 海金沙,1,MOL002888,3,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8679,1,8,山茱萸 | 海藻 | 砂仁 | 秦皮 | 罗汉果 | 蓼大青叶 | 青黛 | 鹿衔草,1,MOL000570,8,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8698,1,4,安息香 | 枇杷叶 | 甘草 | 生姜,1,MOL004832,4,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8742,1,13,八角茴香 | 土茯苓 | 土荆皮 | 地锦草 | 木瓜 | 石上柏 | 紫苏 | 老鹳草 | 葛花 | 覆盆子 | 诃子 | 银杏叶 | 黄药子,1,MOL005074,13,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8748,1,18,乌药 | 冰片 | 北五味子 | 千年健 | 土茯苓 | 百合 | 砂仁 | 细辛 | 羌活 | 芫荽 | 菊花 | 辛夷 | 连翘 | 陈皮 | 青蒿 | 香薷 | 马兜铃 | 高良姜,2,MOL000696 | MOL006868,18,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8766,1,1,广藿香,1,MOL005903,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8768,1,15,丹参 | 半夏 | 四季青 | 天南星 | 桂枝 | 泽兰 | 灯盏细辛 | 玉米须 | 石见穿 | 紫苏 | 荔枝核 | 葛花 | 蝉蜕 | 连钱草 | 雷公藤,1,MOL001452,15,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8785,1,6,丁香 | 栀子 | 桂枝 | 梅花 | 苏合香 | 鸡屎藤,1,MOL003785,6,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8792,1,1,高良姜,1,MOL002545,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
